head,relation_type,tail,verdict_qwen,verdict_gpt
802.11,operates_at,link layer,yes,yes
802.1q,provides,vlan tag,yes,yes
access router,connects_to,top-tier switch,yes,yes
adapter,connects_to,broadcast channel,yes,yes
adapter,has_part,buffer,yes,yes
adapter,has_part,mac address,yes,yes
adapter,implements,cyclic redundancy check,yes,yes
adapter,part_of,node,yes,yes
adapter,receives,datagram,yes,yes
adapter,receives,ethernet frame,yes,yes
adapter,receives,frame,yes,yes
adapter,receives,ip datagram,yes,yes
adapter,sends,ethernet frame,yes,yes
adapter,sends,frame,yes,yes
aloha,is_a,random access protocol,yes,yes
arp,identifies,mac address,yes,yes
arp,maps_to,mac address,yes,yes
arp,operates_at,link layer,yes,yes
arp packet,contains,ip address,yes,yes
arp packet,contains,mac address,yes,yes
arp table,contains,ip address,yes,yes
arp table,contains,mac address,yes,yes
arq,provides,error correction,yes,yes
atheros ar5006 controller,implements,802.11,yes,yes
atm,is_a,protocol,yes,yes
bob laptop,receives,ethernet frame,yes,yes
bob laptop,requires,arp,yes,yes
bob laptop,sends,ethernet frame,yes,yes
border router,connects_to,access router,yes,yes
border router,connects_to,data center network,yes,yes
buffer,contains,frame,yes,yes
buffer,part_of,adapter,yes,yes
buffer,part_of,switch,yes,yes
burst error,causes,undetected error,yes,yes
cable modem,communicates_with,cmts,yes,yes
cable modem,sends,mini-slot-request frame,yes,yes
cdma,supports,broadcast channel,yes,yes
checksum,provides,error detection,yes,yes
checksumming method,provides,error detection,yes,yes
cmts,receives,mini-slot-request frame,yes,yes
cmts,sends,map message,yes,yes
collision,causes,packet loss,yes,yes
collision,decreases,bandwidth,yes,yes
column parity,part_of,error-detection bits,yes,yes
control plane,enables,operational state management,yes,yes
control plane,manages,data plane,yes,yes
controller,receives,frame,yes,yes
crc,requires,generator 1001,yes,yes
crc,requires,generator 10011,yes,yes
csma,is_a,random access protocol,yes,yes
csma,requires,carrier sensing,yes,yes
csma/cd,implements,binary exponential backoff,yes,yes
csma/cd,requires,carrier sensing,yes,yes
csma/cd,requires,collision detection,yes,yes
csma/cd,supports,broadcast link,yes,yes
csma/cd-like multiple access protocol,implements,csma/cd algorithm,yes,yes
cyclic redundancy check,operates_at,link layer,yes,yes
cyclic redundancy check,provides,error detection,yes,yes
cyclic redundancy check,requires,modulo-2 arithmetic,yes,yes
cyclic redundancy check,requires,xor,yes,yes
cyclic redundancy check,supports,link layer,yes,yes
data center interconnection network,has_part,switch,yes,yes
data center network,connects_to,host,yes,yes
data center network,has_part,border router,yes,yes
data center network,has_part,switch,yes,yes
dns,maps_to,ip address,yes,yes
docsis,implements,binary exponential backoff algorithm,yes,yes
ecmp,implements,multipath routing,yes,yes
edc bits,enables,error correction,yes,yes
edc bits,enables,error detection,yes,yes
efficiency,measures,successful slot,yes,yes
error-detection bits,part_of,link-layer frame,yes,yes
ethernet,has_part,csma/cd,yes,yes
ethernet,implements,binary exponential backoff algorithm,yes,yes
