head,relation_type,tail,verdict_qwen,verdict_gpt
3des,is_a,block cipher,yes,yes
4g authentication and key agreement protocol,provides,mutual authentication,yes,yes
access point,receives,link-level frame,yes,yes
aes,is_a,block cipher,yes,yes
aes,provides,confidentiality,yes,yes
aes,requires,key,yes,yes
ah,provides,source authentication,yes,yes
aka protocol,provides,key generation,yes,yes
aka protocol,provides,mutual authentication,yes,yes
alice,communicates_with,bob,yes,yes
alice,receives,public key,yes,yes
alice,sends,rsa-encrypted message,yes,yes
application gateway,connects_to,external server,yes,yes
application gateway,is_a,firewall,yes,yes
application gateway,is_a,server,yes,yes
application gateway,supports,deep packet inspection,yes,yes
attach message,contains,international mobile subscriber identity,yes,yes
authentication key,is_a,shared secret,yes,yes
authentication server,provides,authentication services,yes,yes
authentication server,provides,shared session key,yes,yes
authentication server,sends,nonce,yes,yes
base station,forwards,attach message,yes,yes
block cipher,implements,one-to-one mapping,yes,yes
block cipher,implements,permutation,yes,yes
block cipher,requires,key,yes,yes
block cipher algorithm,requires,secret key,yes,yes
bob,has_part,private key,yes,yes
bob,receives,rsa-encrypted message,yes,yes
branch-office gateway router,manages,security association,yes,yes
ca,provides,certificate,yes,yes
caesar cipher,is_a,algorithm,yes,yes
central ids processor,receives,ids sensor,yes,yes
certificate,contains,public key,yes,yes
certificate,identifies,server,yes,yes
chosen-plaintext attack,requires,plaintext,yes,yes
cipher block chaining,requires,block cipher algorithm,yes,yes
cipher block chaining,requires,iv,yes,yes
ciphertext-only attack,requires,ciphertext,yes,yes
client,communicates_with,server,yes,yes
client,connects_to,server,yes,yes
client,sends,hmac,yes,yes
client,sends,pre-master secret,yes,yes
connection table,part_of,firewall,yes,yes
cryptographic hash function,provides,message integrity,yes,yes
cryptographic hashing,provides,message integrity,yes,yes
cryptography,provides,authentication,yes,yes
cryptography,provides,confidentiality,yes,yes
cryptography,provides,message integrity,yes,yes
cryptography,provides,nonrepudiation,yes,yes
decryption,requires,private key,yes,yes
decryption algorithm,requires,key,yes,yes
decryption algorithm,requires,private key,yes,yes
des,is_a,block cipher,yes,yes
des,provides,confidentiality,yes,yes
des,requires,key,yes,yes
diffie-hellman,provides,shared secret,yes,yes
diffie-hellman algorithm,provides,session key,yes,yes
digital signature,enables,public key certification,yes,yes
digital signature,provides,message integrity,yes,yes
digital signature,requires,hash algorithm,yes,yes
digital signature,requires,private key,yes,yes
digital signature,requires,public key,yes,yes
eavesdropping,is_a,attack,yes,yes
email service,provides,message integrity,yes,yes
email service,provides,sender authentication,yes,yes
encryption,provides,confidentiality,yes,yes
encryption algorithm,requires,key,yes,yes
esp,provides,confidentiality,yes,yes
e‑mail,is_a,service,yes,yes
firewall,controls,malformed packet,yes,yes
firewall,controls,packet,yes,yes
firewall,forwards,packet,yes,yes
firewall,has_part,connection table,yes,yes
firewall,receives,datagram,yes,yes
firewall,supports,icmp,yes,yes
firewall,supports,operational security,yes,yes
firewall,supports,port,yes,yes
firewall,supports,tcp,yes,yes
firewall,supports,udp,yes,yes
forwarding table,part_of,router,yes,yes
four-way handshake,provides,mutual authentication,yes,yes
four-way handshake,provides,shared symmetric session key,yes,yes
gateway router,connects_to,isp,yes,yes
gateway router,forwards,packet,yes,yes
gateway router,forwards,telnet,yes,yes
gateway router,implements,firewall,yes,yes
hash function,enables,fingerprint,yes,yes
hash function,enables,message integrity,yes,yes
headquarters gateway router,connects_to,branch-office gateway router,yes,yes
headquarters gateway router,manages,security association,yes,yes
headquarters gateway router,sends,ipsec datagram,yes,yes
headquarters gateway router,sends,ipv4 datagram,yes,yes
hmac,provides,message authentication code,yes,yes
hmac,supports,sha-1,yes,yes
home subscriber service,contains,secret key,yes,yes
home subscriber service,provides,authentication token,yes,yes
host,communicates_with,router,yes,yes
host,receives,ipv4 datagram,yes,yes
host,sends,ipsec datagram,yes,yes
host,sends,ipv4 datagram,yes,yes
ids,identifies,ping sweep,yes,yes
ids,identifies,port scan,yes,yes
ids,provides,traffic profile,yes,yes
ids sensor,communicates_with,central ids processor,yes,yes
ieee 802.11,operates_at,link layer,yes,yes
ieee 802.11,provides,confidentiality,yes,yes
ike,enables,security association,yes,yes
integrity,prevents,tampering,yes,yes
internet checksum,is_a,checksum,yes,yes
intrusion detection system,supports,operational security,yes,yes
ip address,identifies,application gateway,yes,yes
ip spoofing,is_a,attack,yes,yes
ipsec,contains,transport mode,yes,yes
ipsec,has_part,ah,yes,yes
ipsec,has_part,esp,yes,yes
ipsec,has_part,tunnel mode,yes,yes
ipsec,operates_at,network layer,yes,yes
ipsec,provides,authentication,yes,yes
ipsec,provides,confidentiality,yes,yes
ipsec,provides,integrity,yes,yes
ipsec,supports,block cipher,yes,yes
ipsec datagram,contains,esp authentication field,yes,yes
ipsec datagram,contains,esp header,yes,yes
ipsec datagram,contains,esp trailer,yes,yes
ipsec datagram,contains,ipv4 datagram,yes,yes
key,enables,encryption algorithm,yes,yes
known-plaintext attack,requires,ciphertext,yes,yes
known-plaintext attack,requires,plaintext,yes,yes
master secret,enables,session encryption key,yes,yes
master secret,enables,session hmac key,yes,yes
md4,implements,hash function,yes,yes
md5,implements,hash function,yes,yes
message authentication code,provides,message integrity,yes,yes
message digest,enables,message integrity,yes,yes
mme,sends,key,yes,yes
mobile device,communicates_with,ap,yes,yes
mobile device,communicates_with,remote host,yes,yes
mobile device,connects_to,access point,yes,yes
mobile device,connects_to,base station,yes,yes
mobile device,receives,authentication token,yes,yes
mobile device,receives,nonce,yes,yes
mobile device,sends,attach message,yes,yes
mobile device,sends,link-level frame,yes,yes
mobility management entity,communicates_with,home subscriber service,yes,yes
mobility management entity,provides,base station keys,yes,yes
mobility management entity,sends,international mobile subscriber identity,yes,yes
modular arithmetic,enables,rsa,yes,yes
nonce,prevents,connection replay attack,yes,yes
nonce,prevents,replay attack,yes,yes
package,contains,encrypted symmetric key,yes,yes
packet filter,identifies,udp,yes,yes
packet filter,is_a,firewall,yes,yes
packet filter,prevents,telnet,yes,yes
pgp,provides,authentication,yes,yes
pgp,provides,confidentiality,yes,yes
pgp,provides,data integrity,yes,yes
pgp,provides,digital signature,yes,yes
pgp,supports,block cipher,yes,yes
polyalphabetic encryption,has_part,monoalphabetic encryption,yes,yes
public key cryptography,provides,authentication,yes,yes
public key cryptography,provides,digital signature,yes,yes
public key cryptography,requires,private key,yes,yes
public key cryptography,requires,public key,yes,yes
public key server,provides,public key,yes,yes
public-key cryptography,enables,digital signature,yes,yes
r1,sends,ipsec datagram,yes,yes
r2,receives,ipsec datagram,yes,yes
router,connects_to,isp,yes,yes
router,forwards,ip datagram,yes,yes
router,forwards,ipsec datagram,yes,yes
router,has_part,forwarding table,yes,yes
router,implements,access control list,yes,yes
router,implements,least-cost routing algorithm,yes,yes
router,implements,packet filter,yes,yes
router,receives,encrypted authentication key,yes,yes
router,receives,ipv4 datagram,yes,yes
router,receives,link-state message,yes,yes
router,sends,ipsec datagram,yes,yes
router,sends,link-state message,yes,yes
router interface,has_part,access control list,yes,yes
router r1,has_part,security association database,yes,yes
router r2,has_part,security association database,yes,yes
router r2,manages,security association,yes,yes
rsa,has_part,public key,yes,yes
rsa,implements,public-key cryptography,yes,yes
rsa,requires,exponentiation,yes,yes
rsa,requires,large prime numbers,yes,yes
rsa,requires,modular arithmetic,yes,yes
rsa,requires,prime p,yes,yes
rsa,requires,prime q,yes,yes
rsa,requires,private key,yes,yes
rsa,requires,public key,yes,yes
salesperson laptop,connects_to,headquarters gateway router,yes,yes
salesperson laptop,sends,ipv4 datagram,yes,yes
secret key,enables,mutual authentication,yes,yes
secure e‑mail system,is_a,service,yes,yes
secure e‑mail system,provides,confidentiality,yes,yes
secure e‑mail system,provides,sender authentication,yes,yes
security association,has_part,authentication key,yes,yes
security association,has_part,encryption key,yes,yes
security association database,part_of,router r2,yes,yes
sequence number,prevents,replay attack,yes,yes
sequence numbers,prevents,replay attack,yes,yes
sequence-number field,prevents,replay attack,yes,yes
server,sends,hmac,yes,yes
server,supports,tls,yes,yes
sha-1,implements,hash function,yes,yes
shared secret,enables,message integrity,yes,yes
shared secret,enables,mutual authentication,yes,yes
sim card,contains,secret key,yes,yes
snort,is_a,ids,yes,yes
snort,is_a,intrusion detection system,yes,yes
snort,provides,alert,yes,yes
snort,provides,attack signature,yes,yes
snort,requires,libpcap,yes,yes
stateful filter,has_part,access control list,yes,yes
stateful filter,is_a,firewall,yes,yes
statistical analysis,enables,ciphertext-only attack,yes,yes
symmetric key encryption,requires,shared session key,yes,yes
tcp fin segment,enables,truncation attack,yes,yes
three-way tcp handshake,mitigates,playback attack,yes,yes
tls,provides,confidentiality,yes,yes
tls,provides,data integrity,yes,yes
tls,provides,end-point authentication,yes,yes
