head,relation_type,tail
5g,supports,millimeter wave frequencies
802.11,contains,frame
802.11,enables,channel reservation
802.11,implements,csma/ca
802.11,operates_at,link layer
802.11,operates_at,physical layer
802.11,provides,crc
802.11,provides,link-layer acknowledgment
802.11,provides,power management
802.11,requires,beacon frame
802.11,supports,collision avoidance
802.11 ac,supports,mimo
802.11 ac,supports,smart antennas
802.11 ax,supports,centralized scheduling
802.11 ax,supports,mimo
802.11 ax,supports,smart antennas
802.11 frame,contains,address 3
802.11 n,supports,mimo
access point,connects_to,router interface
access point,connects_to,switch
access point,forwards,ethernet frame
access point,is_a,base station
access point,is_a,station
access point,receives,frame
access point,receives,rts frame
access point,sends,acknowledgment
access point,sends,beacon frame
access point,sends,cts frame
access point,sends,data frame
address 1,identifies,wireless station
address 2,identifies,access point
address 3,identifies,router
address 3,identifies,router interface
anchor point,supports,handover
ap,provides,wireless bandwidth
ap,receives,association request frame
ap,receives,probe request frame
ap,sends,association response frame
ap,sends,probe response frame
base station,communicates_with,mme
base station,communicates_with,mobile device
base station,communicates_with,wireless host
base station,connects_to,gateway
base station,connects_to,larger network
base station,connects_to,mobile device
base station,connects_to,serving gateway
base station,enables,channel access
base station,forwards,ip datagram
base station,is_a,network component
base station,operates_at,link layer
base station,receives,ip datagram
base station,receives,packet
base station,sends,packet
base station,sends,paging messages
beacon frame,contains,mac address
beacon frame,contains,ssid
beacon frame,identifies,ap
bluetooth,enables,wireless peripheral connectivity
bluetooth,implements,frequency-hopping spread spectrum
bluetooth,operates_at,link layer
bluetooth,provides,streaming
bluetooth,supports,ack
bluetooth,supports,ad hoc network
bluetooth,supports,error detection
bluetooth,supports,personal area network
bluetooth,supports,polling
bluetooth,supports,time division multiplexing
broadcast ethernet frame,contains,mac address
cdma,provides,shared-medium access
cdma,requires,chipping rate
cell tower,is_a,base station
client,communicates_with,master
client device,connects_to,base station
client device,sends,ack
csma/ca,enables,backoff
csma/ca,enables,random backoff
csma/ca,operates_at,link layer
csma/ca,supports,cts frame
csma/ca,supports,rts frame
cts frame,increases,delay
data frame,contains,datagram
embb,provides,bandwidth
ethernet,implements,csma/cd
ethernet frame,contains,mac address
foreign agent,provides,agent discovery
foreign agent,provides,care-of-address
forwarding table,part_of,router
forwarding table,part_of,switch
frame,contains,crc
frame control field,contains,subtype field
gateway router,forwards,ip datagram
gateway router,is_a,router
global unique identifier,identifies,mobile device
gprs tunneling protocol,runs_on,udp
gsm,supports,circuit switching
hidden terminal,causes,collision
hidden terminal problem,causes,interference
home agent,forwards,datagram
home gateway,forwards,datagram
home network,communicates_with,visited network
home network gateway router,forwards,datagram
home network gateway router,receives,datagram
host,communicates_with,larger network
host,connects_to,access point
host,connects_to,base station
host,receives,acknowledgment
host,sends,802.11 frame
hss,identifies,mobile device
hss,sends,encrypted information
ieee 802.11,operates_at,link layer
ieee 802.11,supports,cts frame
ieee 802.11,supports,rts frame
imsi,identifies,mobile device
indirect routing,causes,triangle routing problem
ip address,identifies,mobile device
link layer,has_part,mac
link layer,has_part,rlc
lte,supports,orthogonal frequency division multiplexing
lte-advanced,enables,aggregated channel
mac,operates_at,link layer
master,sends,beacon message
master node,communicates_with,client device
master node,receives,ack
mme,communicates_with,hss
mme,enables,tunnel
mobile device,causes,datagram loss
mobile device,communicates_with,base station
mobile device,communicates_with,foreign agent
mobile device,communicates_with,home agent
mobile device,communicates_with,streaming server
mobile device,communicates_with,visited gateway router
mobile device,connects_to,802.11 ap
mobile device,connects_to,base station
mobile device,connects_to,lte base station
mobile device,connects_to,visited network
mobile device,provides,international mobile subscriber identity
