head,relation_type,tail
answer section,contains,resource record
apache,provides,response message
arin,provides,ip address range
authoritative dns server,has_part,dns record
authoritative dns server,part_of,hierarchical architecture
authoritative dns server,provides,ip address
authoritative flag,identifies,authoritative server
authoritative server,is_a,dns server
bandwidth-sensitive applications,requires,throughput
bittorrent,provides,file distribution
bittorrent,implements,p2p architecture
browser,communicates_with,http server
browser,communicates_with,origin server
browser,communicates_with,web cache
browser,communicates_with,web proxy
browser,communicates_with,web server
browser,connects_to,web cache
browser,is_a,client
browser,receives,http response
browser,sends,cookie
browser,sends,cookie header line
browser,sends,header line
browser,sends,http request
buffer,contains,video frame
cdn,provides,streaming
chrome,implements,http
client,communicates_with,cdn
client,communicates_with,dns server
client,communicates_with,server
client,connects_to,isp
client,connects_to,mail server
client,connects_to,server
client,connects_to,web cache
client,has_part,buffer
client,implements,http
client,implements,rate determination algorithm
client,receives,header line
client,receives,http response
client,receives,ip address
client,receives,manifest file
client,receives,packet
client,receives,response message
client,requires,smtp
client,sends,hostname
client,sends,http request message
client,sends,packet
client,sends,request message
client,sends,tcp segment
client,sends,udp packet
client program,communicates_with,server program
client program,implements,http
client socket,requires,port number
client-server architecture,has_part,server
client-server architecture,supports,email service
client-server architecture,supports,ftp
client-server architecture,supports,web service
connection-oriented service,requires,handshaking procedure
content distribution network,connects_to,access isp
content distribution network,has_part,server cluster
content distribution network,provides,throughput
content processing,enables,streaming
cookie,enables,shopping cart service
cookie file,contains,identification number
dash,provides,streaming
dash,runs_on,http
data center,contains,host
data center,enables,streaming video service
data center,provides,web-based email
dhcp,provides,ip address
dig,communicates_with,dns server
dns,has_part,dns server
dns,operates_at,application layer
dns,provides,directory service
dns,provides,host aliasing
dns,provides,hostname-to-ip-address translation service
dns,provides,load distribution
dns,provides,mail server aliasing
dns,runs_on,udp
dns client,communicates_with,authoritative dns server
dns client,communicates_with,dns server
dns client,communicates_with,root dns server
dns client,receives,dns reply message
dns client,receives,dns response
dns client,receives,ip address
dns client,sends,dns query
dns client,sends,dns query message
dns protocol,provides,hostname resolution
dns query,contains,hostname
dns rotation,provides,load distribution
dns server,communicates_with,dns client
dns server,contains,mapping
dns server,forwards,dns query
dns server,has_part,cache
dns server,has_part,ns record
dns server,provides,hostname-to-ip-address translation service
dns server,provides,ip address
dns server,receives,dns query message
dns server,receives,hostname
dns server,sends,dns reply message
dns server,sends,ip address
dns server,supports,recursion
email,runs_on,tcp
ethernet,operates_at,link layer
file transfer,runs_on,tcp
handshaking procedure,enables,connection-oriented service
head of line blocking,increases,delay
header,contains,header line
header line,enables,object caching
header line,part_of,request message
header line,part_of,response message
header section,part_of,dns query message
header section,part_of,dns reply message
host,communicates_with,local dns server
host,connects_to,content server
host,connects_to,server
host,provides,content processing
host,sends,dns query
host header line,identifies,host
hostname,identifies,host
hotmail,implements,email service
html file,part_of,web page
http,enables,cookie
http,enables,streaming
http,operates_at,application layer
http,provides,conditional get
http,runs_on,tcp
http,supports,persistent connection
http,supports,pipelining
http client,communicates_with,http server
http request,contains,cookie header line
http/1.1,runs_on,tcp
http/2,enables,multiplexing
http/2,provides,server push
http/2,runs_on,tcp
http/3,runs_on,quic
imap,provides,email service
institutional network,connects_to,internet
institutional network,has_part,cache
institutional router,connects_to,internet router
institutional router,forwards,ip datagram
interactive real-time applications,requires,timing guarantees
intermediate dns server,communicates_with,authoritative dns server
internet explorer,implements,http
internet router,receives,ip datagram
internet telephony,runs_on,udp
ip address,identifies,host
ip address,identifies,server
ip address,identifies,web server
isp,provides,ip address
isp,provides,web cache
kingcdn dns system,provides,ip address
local dns server,communicates_with,authoritative dns server
local dns server,communicates_with,departmental dns server
local dns server,communicates_with,intermediate dns server
local dns server,communicates_with,root dns server
local dns server,communicates_with,tld server
local dns server,forwards,authoritative dns server
local dns server,forwards,authoritative server
local dns server,forwards,tld server
local dns server,receives,dns query
local dns server,sends,dns response
mail message,contains,body
mail message,contains,header
mail server,has_part,queue
mail server,receives,email
mail server,receives,mail message
multiplayer games,requires,timing guarantees
network cache server,sends,header line
nslookup,communicates_with,dns server
nslookup,enables,reconnaissance
nslookup,sends,dns query
origin server,receives,http request
origin server,sends,http response
p2p architecture,enables,self-scaling
packet,contains,client address
parallel connections,enables,parallel downloads
peer,connects_to,neighboring peer
peer,receives,chunk
peer,receives,file
peer,sends,bit
peer,sends,chunk
peer,sends,file
peer-to-peer,provides,file transfer
peer-to-peer architecture,enables,redistribution
persistent connection,supports,pipelining
port,identifies,http
port number,identifies,mail server
port number,identifies,welcoming socket
proxy cache,sends,conditional get
quic,provides,flow control
quic,provides,message multiplexing
quic,runs_on,udp
rate-determination algorithm,enables,adaptive streaming
rate-determination algorithm,runs_on,client
recursion-available field,part_of,header
recursion-available flag,identifies,recursion support
recursion-desired flag,identifies,client desire for recursion
remote terminal access,runs_on,tcp
request line,has_part,http version field
request line,has_part,method field
request line,has_part,url field
request line,part_of,request message
request message,contains,header line
request message,contains,url
request message,has_part,entity body
response message,contains,entity body
response message,contains,header line
response message,contains,status line
root dns server,part_of,hierarchical architecture
root dns server,provides,ip address
root server,is_a,dns server
router,forwards,packet
router,has_part,buffer
router,operates_at,network layer
server,communicates_with,client
server,has_part,storage
server,implements,http
server,is_a,host
server,operates_at,application layer
server,provides,email service
server,receives,packet
server,receives,request message
server,receives,udp packet
server,sends,file
server,sends,frame
server,sends,html file
server,sends,packet
server,sends,response message
server,sends,tcp segment
server,sends,udp packet
server program,implements,http
server rack,has_part,server
server socket,is_a,tcp socket
server socket,requires,port number
smtp,provides,email service
smtp,runs_on,tcp
smtp client,communicates_with,smtp server
smtp client,is_a,client
smtp server,is_a,server
socket,connects_to,transport layer
socket,part_of,host
socket,sends,packet
status line,contains,protocol version field
status line,contains,status code
status line,contains,status message
streaming,requires,average end-to-end throughput
switch,operates_at,link layer
tcp,provides,congestion control
tcp,provides,reliable data transfer
tcp segment,contains,http request message
tcp segment,part_of,three-way handshake
tcpclient,runs_on,host
tcpserver,runs_on,host
telnet,runs_on,tcp
three-way handshake,enables,tcp connection
three-way handshake,operates_at,transport layer
tld dns server,part_of,hierarchical architecture
tld server,is_a,dns server
tld server,provides,ip address
tls,provides,security services
torrent,has_part,chunk
tracker,sends,ip address
traffic intensity,causes,delay
traffic intensity,increases,delay
transport protocol,provides,data integrity
transport-layer protocol,operates_at,transport layer
transport-layer protocol,provides,process-to-process reliable data transfer
udp,provides,unreliable data transfer service
udpclient,runs_on,host
url,has_part,hostname
url,has_part,path name
user agent,communicates_with,mail server
user agent,sends,email
user agent,sends,mail message
user-agent header line,identifies,browser
