head,relation_type,tail
agent,communicates_with,managing server
agent,sends,response
agent,sends,trap
as-path,contains,as
autonomous system,has_part,router
bgp,enables,ip-anycast service
bgp,enables,policy
bgp,has_part,as-path
bgp,implements,hot potato routing
bgp,implements,route-selection algorithm
bgp,implements,routing algorithm
bgp,requires,port 179
bgp,runs_on,tcp
buffer,causes,packet loss
buffer,increases,end-to-end delay
cdn,supports,ip-anycast service
centralized routing algorithm,requires,global knowledge
centralized routing algorithm,runs_on,controller
client,communicates_with,cdn
client,communicates_with,web server
client,receives,ip address
client,sends,packet
client host,receives,icmp echo response
congestion,increases,delay
control plane,has_part,network-control application
control plane,has_part,sdn controller
controller,communicates_with,control agent
controller,provides,forwarding table
dijkstra's algorithm,enables,shortest path
dijkstra's algorithm,provides,least-cost path
dijkstra's algorithm,requires,link cost
dijkstra's algorithm,runs_on,sdn controller
distance vector,contains,cost
distance vector routing,supports,poisoned reverse
distance-vector algorithm,causes,count-to-infinity problem
distance-vector algorithm,implements,bellman-ford equation
distance-vector algorithm,requires,link cost
distance-vector routing algorithm,implements,bellman-ford equation
ebgp connection,enables,reachability information
ebgp connection,is_a,bgp connection
edge,part_of,graph
flow table,contains,header field value
flow table,has_part,flow table entry
flow table,part_of,router
flow table,part_of,sdn-controlled switch
forwarding table,contains,next-hop node
forwarding table,part_of,node
forwarding table,part_of,router
gateway router,connects_to,router
gateway router,is_a,router
graph,has_part,edge
graph,has_part,node
host,communicates_with,router
host,receives,icmp
host,receives,icmp port unreachable message
host,sends,icmp echo reply
host,sends,icmp echo request
host,sends,icmp port unreachable message
host,sends,ip datagram
hot potato routing,requires,cost
ibgp connection,enables,reachability information
ibgp connection,is_a,bgp connection
icmp,enables,ping
icmp,enables,traceroute
icmp,provides,error reporting
icmp source quench message,enables,congestion control
interface,has_part,mtu
internal router,connects_to,host
internal router,is_a,router
ip address,identifies,dns server
ip address,identifies,mail server
ip address,identifies,web server
ip datagram,contains,ttl
ip datagram,contains,udp segment
is-is,is_a,link-state protocol
isp,provides,ip address range
least-cost path,is_a,path
link state routing,requires,global information
link-state algorithm,is_a,routing algorithm
link-state algorithm,requires,complete map
link-state algorithm,requires,global knowledge
link-state packet,contains,link
link-state packet,contains,link cost
link-state protocol,implements,dijkstra's algorithm
link-state routing,implements,dijkstra's algorithm
load,increases,link cost
load-sensitive algorithm,requires,link cost
ls algorithm,provides,least-cost path
managed device,receives,rpc
managed device,sends,notification
managing server,communicates_with,managed device
managing server,receives,notification
managing server,receives,response
managing server,sends,request
neighbor,receives,distance vector
netconf,enables,device configuration
netconf,enables,transaction
netconf,provides,edit-config
netconf,provides,get
netconf,provides,get-config
netconf,provides,lock
netconf,requires,secure connection
netconf,supports,rpc
network layer,has_part,control plane
network management protocol,connects_to,managed device
network-control application,part_of,control plane
network-control application,provides,access control
network-control application,provides,server load balancing
next-hop attribute,identifies,ip address
node,has_part,distance vector
node,has_part,routing table
node,part_of,graph
node,receives,distance vector
node,receives,link-state packet
node,sends,link-state packet
nox,is_a,sdn controller
onos,is_a,sdn controller
opendaylight,is_a,sdn controller
openflow protocol,runs_on,tcp
openflow1.0,provides,flow-based forwarding
ospf,implements,dijkstra's algorithm
ospf,implements,link-state algorithm
ospf,implements,link-state broadcast
ospf,implements,link-state routing algorithm
ospf,implements,reliable message transfer
ospf,implements,routing algorithm
ospf,is_a,link-state protocol
ospf,provides,least-cost path routing
ospf,runs_on,ip
ospf,supports,authentication
ospf,supports,md5 authentication
ospf,supports,simple authentication
ospf message,contains,ospf advertisement
ping,receives,icmp echo response
ping,sends,icmp echo request
request,contains,mib object
rip,implements,distance-vector algorithm
route,has_part,as-path
route,has_part,next-hop
router,causes,oscillation
router,forwards,ip datagram
router,forwards,packet
router,has_part,flow table
router,has_part,forwarding table
router,implements,bgp route-selection algorithm
router,implements,decentralized routing algorithm
router,implements,dijkstra's algorithm
router,implements,distance vector routing
router,implements,distance-vector algorithm
router,implements,link state routing
router,implements,link-state algorithm
router,implements,ls algorithm
router,implements,match-plus-action abstraction
router,implements,route-selection algorithm
router,part_of,autonomous system
router,part_of,isp
router,provides,firewalling
router,provides,load sharing
router,receives,distance vector
router,receives,ip datagram
router,receives,packet
router,sends,distance vector
router,sends,hello message
router,sends,icmp
router,sends,icmp warning message
router,sends,link advertisement
router,sends,link-state information
router,sends,link-state packet
router,sends,packet
routing network-control application,implements,dijkstra's algorithm
routing table,part_of,node
sdn,implements,logically centralized control
sdn,supports,4g/5g cellular networking
sdn controller,communicates_with,sdn-enabled switch
sdn controller,communicates_with,sdn-controlled switch
sdn controller,communicates_with,switch
sdn controller,enables,unbundling
sdn controller,implements,openflow
sdn controller,part_of,control plane
sdn controller,provides,api
sdn controller,provides,network state information
sdn-controlled switch,has_part,flow table
sdn-controlled switch,sends,packet
server,communicates_with,device
snmp,operates_at,application layer
snmp,runs_on,udp
snmpv3,operates_at,application layer
source host,receives,icmp message
switch,communicates_with,sdn controller
target host,receives,icmp echo request
tcp,provides,congestion control
tls,runs_on,tcp
