head,relation_type,tail
ack,increases,congestion window size
ack,is_a,positive acknowledgment
ack segment,supports,cumulative acknowledgments
acknowledgment,enables,self-clocking
acknowledgment,increases,cwnd
acknowledgment segment,contains,acknowledgment number
acknowledgment segment,contains,sequence number
additive increase,increases,congestion window
alternating-bit protocol,is_a,stop-and-wait protocol
arq,requires,error detection
arq,requires,receiver feedback
arq,requires,retransmission
attacker,sends,ack packet
buffer,causes,packet loss
buffer,contains,packet
buffer,increases,end-to-end delay
buffer,part_of,host
buffer,part_of,router
checksum calculation,requires,1s complement
checksum field,contains,udp checksum
client,communicates_with,server
client,communicates_with,web server
client,receives,acknowledgment segment
client,receives,fin segment
client,receives,segment
client,receives,synack segment
client,receives,tcp segment
client,runs_on,host
client,sends,acknowledgment segment
client,sends,fin segment
client,sends,segment
client,sends,syn segment
client,sends,tcp segment
computer,connects_to,web server
congestion,causes,congestion collapse
congestion,causes,delay
congestion,causes,end-to-end delay
congestion,causes,packet loss
congestion,increases,queuing delay
congestion,increases,round-trip time
congestion,increases,rtt
congestion avoidance,increases,congestion window
congestion avoidance,increases,congestion window size
congestion control,requires,congestion window
congestion control,supports,delay-based approach
connection state,has_part,acknowledgment number parameters
connection state,has_part,congestion-control parameters
connection state,has_part,receive buffer
connection-establishment request,is_a,tcp segment
cumulative acknowledgment,is_a,ack
datagram,contains,segment
destination port number field,part_of,segment
devrtt,requires,ewma
dns,runs_on,udp
duplicate ack,identifies,packet loss
duplicate ack,is_a,ack
email service,runs_on,tcp
estimatedrtt,requires,ewma
ethernet,implements,csma/cd
ethernet,provides,error detection
file transfer,runs_on,tcp
ftp,requires,well-known port number
gbn,requires,sequence number
go-back-n,implements,cumulative acknowledgment
go-back-n,implements,sequence number
go-back-n,is_a,sliding-window protocol
go-back-n,requires,ack
go-back-n,requires,cumulative acknowledgment
go-back-n,requires,sequence number
host,communicates_with,name server
host,has_part,buffer
host,has_part,ip address
host,has_part,socket
host,provides,ftp
host,provides,http
host,receives,segment
host,receives,tcp segment
host,sends,icmp datagram
host,sends,reset segment
http,operates_at,application layer
http,runs_on,tcp
http/3,runs_on,quic
internet phone,runs_on,udp
ip,operates_at,network layer
ip,provides,network-layer service
ip,runs_on,link layer
ip address,identifies,client
ip address,identifies,host
link layer,provides,error detection
mail service,requires,address
multimedia applications,runs_on,udp
multiplicative-decrease approach,is_a,congestion control
nak,is_a,negative acknowledgment
name server,receives,datagram
network,causes,packet reordering
network layer,enables,explicit congestion indication
network layer,sends,datagram
