head,relation_type,tail,verdict_qwen,verdict_gpt
111.111.111.111,sends,frame,yes,no
111.111.111.111,sends,ip datagram,,yes
802.11,operates_at,link layer,yes,yes
802.1q,provides,vlan tag,yes,yes
access router,connects_to,top-tier switch,yes,yes
adapter,connects_to,broadcast channel,yes,yes
adapter,has_part,buffer,yes,yes
adapter,has_part,mac address,yes,yes
adapter,implements,cyclic redundancy check,yes,yes
adapter,part_of,node,yes,yes
adapter,receives,datagram,yes,yes
adapter,receives,ethernet frame,yes,yes
adapter,receives,frame,yes,yes
adapter,receives,ip datagram,yes,yes
adapter,sends,ethernet frame,yes,yes
adapter,sends,frame,yes,yes
aloha,is_a,random access protocol,yes,yes
arp,identifies,mac address,yes,yes
arp,maps_to,mac address,yes,yes
arp,operates_at,link layer,yes,yes
arp,provides,link-layer addressing,,yes
arp packet,contains,ip address,yes,yes
arp packet,contains,mac address,yes,yes
arp table,contains,ip address,yes,yes
arp table,contains,mac address,yes,yes
arq,provides,error correction,yes,yes
atheros ar5006 controller,implements,802.11,yes,yes
atm,is_a,protocol,yes,yes
binary exponential backoff algorithm,runs_on,ethernet,,yes
bluetooth protocol,is_a,polling protocol,,yes
bob laptop,receives,ethernet frame,yes,yes
bob laptop,requires,arp,yes,yes
bob laptop,sends,ethernet frame,yes,yes
border router,connects_to,access router,yes,yes
border router,connects_to,data center network,yes,yes
broadcast channel,connects_to,host,yes,no
broadcast channel,connects_to,satellite network,,yes
broadcast channel,connects_to,wireless lan,yes,no
buffer,contains,frame,yes,yes
buffer,part_of,adapter,yes,yes
buffer,part_of,switch,yes,yes
burst error,causes,undetected error,yes,yes
cable modem,communicates_with,cmts,yes,yes
cable modem,sends,mini-slot-request frame,yes,yes
carrier sensing,prevents,collision,,yes
cdma,supports,broadcast channel,yes,yes
checksum,provides,error detection,yes,yes
checksumming method,operates_at,transport layer,,yes
checksumming method,provides,error detection,yes,yes
checksumming method,supports,transport layer,,yes
clos network,is_a,concept,yes,no
cmts,receives,mini-slot-request frame,yes,yes
cmts,sends,map message,yes,yes
collision,causes,collision interval,no,yes
collision,causes,packet loss,yes,yes
collision,decreases,bandwidth,yes,yes
column parity,part_of,error-detection bits,yes,yes
control plane,enables,automated configuration,,yes
control plane,enables,operational state management,yes,yes
control plane,manages,data plane,yes,yes
controller,receives,frame,yes,yes
controller,sends,frame,no,yes
crc,requires,generator 1001,yes,yes
crc,requires,generator 10011,yes,yes
crc-32,variant_of,crc,yes,no
cs host,receives,ip datagram,,yes
csma,is_a,random access protocol,yes,yes
csma,requires,carrier sensing,yes,yes
csma/cd,implements,binary exponential backoff,yes,yes
csma/cd,requires,carrier sensing,yes,yes
csma/cd,requires,collision detection,yes,yes
csma/cd,runs_on,ethernet,,yes
csma/cd,supports,broadcast link,yes,yes
csma/cd,variant_of,csma,yes,no
csma/cd-like multiple access protocol,implements,csma/cd algorithm,yes,yes
cyclic redundancy check,operates_at,link layer,yes,yes
cyclic redundancy check,provides,error detection,yes,yes
cyclic redundancy check,requires,modulo-2 arithmetic,yes,yes
cyclic redundancy check,requires,xor,yes,yes
cyclic redundancy check,supports,link layer,yes,yes
data center interconnection network,has_part,switch,yes,yes
data center network,connects_to,host,yes,yes
data center network,connects_to,rack,,yes
data center network,has_part,border router,yes,yes
