head,relation_type,tail,verdict_qwen,verdict_gpt
access control,controls,switch,no,yes
agent,communicates_with,managing server,yes,yes
agent,receives,request,no,yes
agent,sends,response,yes,yes
agent,sends,trap,yes,yes
as-path,contains,as,yes,yes
autonomous system,has_part,router,yes,yes
bellman-ford equation,provides,forwarding table,,yes
bgp,enables,ip-anycast service,yes,yes
bgp,enables,policy,yes,yes
bgp,has_part,as-path,yes,yes
bgp,has_part,next-hop,,yes
bgp,implements,distance-vector algorithm,yes,no
bgp,implements,hot potato routing,yes,yes
bgp,implements,route-selection algorithm,yes,yes
bgp,implements,routing algorithm,yes,yes
bgp,is_a,protocol,yes,yes
bgp,requires,port 179,yes,yes
bgp,routes_to,destination prefix,yes,yes
bgp,routes_to,prefix,yes,yes
bgp,routes_to,prefix x,yes,yes
bgp,runs_on,tcp,yes,yes
bgp connection,contains,bgp message,no,yes
buffer,causes,packet loss,yes,yes
buffer,increases,end-to-end delay,yes,yes
cdn,supports,ip-anycast service,yes,yes
centralized routing algorithm,requires,global knowledge,yes,yes
centralized routing algorithm,runs_on,controller,yes,yes
centralized routing algorithm,variant_of,routing algorithm,yes,no
client,communicates_with,cdn,yes,yes
client,communicates_with,web server,yes,yes
client,receives,ip address,yes,yes
client,sends,ip datagram,,yes
client,sends,packet,yes,yes
client host,receives,icmp echo response,yes,yes
congestion,increases,delay,yes,yes
control agent,manages,flow table,yes,yes
control plane,controls,router,yes,yes
control plane,has_part,network-control application,yes,yes
control plane,has_part,sdn controller,yes,yes
control plane,manages,device,yes,no
controller,communicates_with,control agent,yes,yes
controller,manages,router,yes,yes
controller,provides,forwarding table,yes,yes
cost,measures,number of links traversed,yes,yes
decentralized routing algorithm,variant_of,routing algorithm,yes,no
dijkstra's algorithm,enables,shortest path,yes,yes
dijkstra's algorithm,provides,distance value,,yes
dijkstra's algorithm,provides,least-cost path,yes,yes
dijkstra's algorithm,requires,link cost,yes,yes
dijkstra's algorithm,runs_on,sdn controller,yes,yes
distance vector,causes,routing table,no,yes
distance vector,contains,cost,yes,yes
distance vector,part_of,node,yes,no
distance vector,part_of,routing table,,yes
distance vector algorithm,is_a,algorithm,yes,yes
distance vector routing,supports,poisoned reverse,yes,yes
distance-vector algorithm,causes,count-to-infinity problem,yes,yes
distance-vector algorithm,implements,bellman-ford equation,yes,yes
distance-vector algorithm,implements,distance vector,,yes
distance-vector algorithm,requires,link cost,yes,yes
distance-vector algorithm,sends,routing packet,,yes
distance-vector algorithm,variant_of,decentralized routing algorithm,yes,no
distance-vector routing algorithm,implements,bellman-ford equation,yes,yes
dns server,maps_to,ip address,yes,no
domain name,maps_to,ip address,yes,yes
dv algorithm,causes,routing table,,yes
dv algorithm,implements,distance vector,no,yes
ebgp,variant_of,bgp,yes,no
ebgp connection,enables,reachability information,yes,yes
ebgp connection,is_a,bgp connection,yes,yes
edge,connects_to,router,,yes
edge,part_of,graph,yes,yes
flow table,contains,header field value,yes,yes
flow table,has_part,flow table entry,yes,yes
flow table,part_of,router,yes,yes
flow table,part_of,sdn‑controlled switch,yes,yes
flow table entry,forwards,packet,no,yes
flow table manager,supports,openflow,,yes
forwarding table,contains,next-hop node,yes,yes
forwarding table,contains,prefix x,yes,yes
forwarding table,maps_to,interface,yes,yes
forwarding table,part_of,node,yes,yes
forwarding table,part_of,node u,,yes
forwarding table,part_of,router,yes,yes
gateway router,connects_to,router,yes,yes
gateway router,is_a,router,yes,yes
gateway router 2a,sends,gateway router 1c,yes,no
gateway router 3a,sends,gateway router 2c,yes,no
graph,has_part,edge,yes,yes
graph,has_part,node,yes,yes
host,communicates_with,router,yes,yes
host,measures,round‑trip time,yes,yes
host,receives,icmp,yes,yes
host,receives,icmp port unreachable message,yes,yes
host,sends,icmp echo reply,yes,yes
host,sends,icmp echo request,yes,yes
host,sends,icmp port unreachable message,yes,yes
host,sends,ip datagram,yes,yes
hot potato routing,is_a,algorithm,yes,yes
hot potato routing,requires,cost,yes,yes
ibgp,variant_of,bgp,yes,no
ibgp connection,enables,reachability information,yes,yes
ibgp connection,is_a,bgp connection,yes,yes
icmp,enables,ping,yes,yes
icmp,enables,traceroute,yes,yes
icmp,is_a,protocol,yes,yes
icmp,provides,error reporting,yes,yes
icmp source quench message,enables,congestion control,yes,yes
interface,has_part,mtu,yes,yes
internal router,connects_to,host,yes,yes
internal router,connects_to,router,no,yes
internal router,is_a,router,yes,yes
ip,encapsulates,tcp,yes,no
ip,encapsulates,udp,yes,no
ip address,identifies,dns server,yes,yes
ip address,identifies,gateway router,,yes
ip address,identifies,mail server,yes,yes
ip address,identifies,web server,yes,yes
ip anycast,enables,dns query,,yes
ip anycast,routes_to,root dns server,,yes
ip datagram,contains,ttl,yes,yes
ip datagram,contains,udp segment,yes,yes
is-is,is_a,link-state protocol,yes,yes
iso idrp,implements,distance-vector algorithm,yes,
isp,provides,ip address range,yes,yes
least-cost path,is_a,path,yes,yes
link cost,is_a,metric,yes,yes
link state routing,requires,global information,yes,yes
link-state algorithm,implements,dijkstra's algorithm,,yes
link-state algorithm,is_a,routing algorithm,yes,yes
link-state algorithm,requires,complete map,yes,yes
link-state algorithm,requires,global knowledge,yes,yes
link-state packet,contains,link,yes,yes
link-state packet,contains,link cost,yes,yes
link-state protocol,implements,dijkstra's algorithm,yes,yes
link-state routing,communicates_with,link-state manager,yes,no
link-state routing,implements,dijkstra's algorithm,yes,yes
link-state routing algorithm,implements,dijkstra's algorithm,,yes
load,increases,link cost,yes,yes
load-sensitive algorithm,requires,link cost,yes,yes
ls algorithm,provides,least-cost path,yes,yes
managed device,receives,rpc,yes,yes
managed device,sends,notification,yes,yes
managing server,communicates_with,managed device,yes,yes
managing server,controls,managed device,yes,yes
managing server,receives,notification,yes,yes
managing server,receives,response,yes,yes
managing server,sends,request,yes,yes
managing server,sends,rpc,,yes
neighbor,receives,distance vector,yes,yes
netconf,enables,device configuration,yes,yes
netconf,enables,transaction,yes,yes
netconf,provides,edit-config,yes,yes
netconf,provides,get,yes,yes
netconf,provides,get-config,yes,yes
netconf,provides,lock,yes,yes
netconf,provides,unlock,,yes
netconf,requires,secure connection,yes,yes
netconf,runs_on,tcp,,yes
netconf,supports,rpc,yes,yes
network layer,has_part,control plane,yes,yes
network management protocol,connects_to,managed device,yes,yes
network-control application,controls,data plane,yes,yes
network-control application,part_of,control plane,yes,yes
network-control application,provides,access control,yes,yes
network-control application,provides,server load balancing,yes,yes
next-hop,identifies,router,,yes
next-hop attribute,identifies,ip address,yes,yes
next-hop attribute,identifies,router 2a,yes,yes
next-hop attribute,identifies,router 3d,yes,yes
node,has_part,distance vector,yes,yes
node,has_part,routing table,yes,yes
node,manages,forwarding table,yes,yes
node,part_of,graph,yes,yes
node,receives,distance vector,yes,yes
node,receives,link-state packet,yes,yes
node,sends,link-state packet,yes,yes
node 0,receives,routing packet,yes,yes
node 0,sends,routing packet,yes,yes
node 1,communicates_with,node 2,yes,yes
node 1,sends,routing packet,yes,yes
node 2,sends,routing packet,yes,yes
node 3,receives,routing packet,yes,yes
node u,has_part,forwarding table,yes,yes
node y,receives,distance vector,yes,yes
node y,routes_to,node x,yes,yes
node y,sends,distance vector,yes,yes
