head,relation_type,tail,verdict_qwen,verdict_gpt
ack,enables,congestion window,,yes
ack,identifies,packet,no,yes
ack,identifies,sequence number,,yes
ack,increases,congestion window size,yes,yes
ack,is_a,packet,yes,yes
ack,is_a,positive acknowledgment,yes,yes
ack segment,supports,cumulative acknowledgments,yes,yes
acknowledgment,enables,self-clocking,yes,yes
acknowledgment,increases,cwnd,yes,yes
acknowledgment number field,part_of,reliable data transfer service,,yes
acknowledgment segment,contains,acknowledgment number,yes,yes
acknowledgment segment,contains,sequence number,yes,yes
additive increase,increases,congestion window,yes,yes
alternating-bit protocol,is_a,stop-and-wait protocol,yes,yes
alternating-bit protocol,provides,acknowledgment,,yes
arq,requires,error detection,yes,yes
arq,requires,receiver feedback,yes,yes
arq,requires,retransmission,yes,yes
attacker,sends,ack packet,yes,yes
bic,variant_of,tcp,yes,no
buffer,causes,packet loss,yes,yes
buffer,contains,packet,yes,yes
buffer,decreases,throughput,no,yes
buffer,increases,end-to-end delay,yes,yes
buffer,part_of,host,yes,yes
buffer,part_of,router,yes,yes
buffer,receives,packet,,yes
channel,causes,packet reordering,,yes
checksum calculation,requires,1s complement,yes,yes
checksum field,contains,udp checksum,yes,yes
client,communicates_with,server,yes,yes
client,communicates_with,web server,yes,yes
client,receives,acknowledgment segment,yes,yes
client,receives,fin segment,yes,yes
client,receives,segment,yes,yes
client,receives,synack segment,yes,yes
client,receives,tcp segment,yes,yes
client,runs_on,host,yes,yes
client,sends,acknowledgment segment,yes,yes
client,sends,fin segment,yes,yes
client,sends,segment,yes,yes
client,sends,syn segment,yes,yes
client,sends,tcp segment,yes,yes
computer,connects_to,web server,yes,yes
congestion,causes,congestion collapse,yes,yes
congestion,causes,delay,yes,yes
congestion,causes,end-to-end delay,yes,yes
congestion,causes,packet loss,yes,yes
congestion,increases,queuing delay,yes,yes
congestion,increases,round-trip time,yes,yes
congestion,increases,rtt,yes,yes
congestion avoidance,increases,congestion window,yes,yes
congestion avoidance,increases,congestion window size,yes,yes
congestion control,controls,transmission rate,yes,yes
congestion control,decreases,transmission rate,yes,yes
congestion control,requires,congestion window,yes,yes
congestion control,supports,delay-based approach,yes,yes
congestion control mechanism,contains,congestion window,,yes
congestion window,controls,send rate,yes,yes
congestion window,controls,unacknowledged data,yes,yes
connection state,has_part,acknowledgment number parameters,yes,yes
connection state,has_part,congestion-control parameters,yes,yes
connection state,has_part,receive buffer,yes,yes
connection state,has_part,send buffer,yes,no
connection state,has_part,sequence number parameters,,yes
connection-establishment request,is_a,tcp segment,yes,yes
