head,relation_type,tail
5g fixed wireless,enables,beam-forming
access isp,connects_to,global transit isp
access isp,connects_to,host
access isp,connects_to,regional isp
access isp,connects_to,tier-1 isp
access isp,part_of,network of networks
access isp,provides,wi‑fi
access network,connects_to,host
access network,controls,throughput
access network,is_a,concept
access point,connects_to,ethernet switch
airplane routing layer,implements,airplane routing service
airplane routing layer,requires,takeoff/landing layer
application layer,has_part,dns
application layer,has_part,ftp
application layer,has_part,http
application layer,has_part,smtp
baggage layer,implements,baggage service
baggage layer,requires,ticketing layer
bandwidth flooding,is_a,dos attack
base station,communicates_with,laptop
base station,sends,modem
bottleneck,controls,throughput
buffer,part_of,router a
buffer,receives,packet
cable head end,has_part,cable modem termination system
cable internet access,requires,cable
cable internet access,requires,cable modem
cable internet access,supports,shared broadcast medium
cable modem,provides,downstream channel
cable modem,provides,upstream channel
cable modem,runs_on,ethernet
cable modem,variant_of,modem
circuit,implements,frequency-division multiplexing
circuit,implements,time-division multiplexing
circuit,requires,frequency band
circuit,requires,time slot
circuit switch,connects_to,link
circuit switching,causes,idle network resources
circuit switching,is_a,concept
circuit-switched network,enables,dedicated end-to-end connection
client,communicates_with,server
client,connects_to,access link
client,connects_to,core
client,connects_to,router
client,is_a,host
computer,communicates_with,web server
computer,has_part,network interface card
congestion,causes,delay
congestion,causes,packet loss
congestion,increases,queuing delay
congestion-control protocol,implements,congestion control
connection flooding,is_a,dos attack
connection‑oriented service,provides,flow control
connection‑oriented service,provides,guaranteed delivery
customer isp,connects_to,provider isp
datagram,part_of,network layer
ddos attack,is_a,attack
ddos attack,is_a,dos attack
dedicated end-to-end connection,provides,transmission rate
dedicated end-to-end connection,requires,circuit
delay,is_a,concept
denial-of-service attack,causes,dns server
denial-of-service attack,causes,email server
denial-of-service attack,causes,host
denial-of-service attack,causes,web server
destination end system,receives,packet
destination host,receives,special packet
destination host,sends,message
dial-up modem,variant_of,modem
distributed denial-of-service attack,causes,host
dns,maps_to,ip address
dns,provides,dns service
dns server,is_a,server
dns server,susceptible_to,dos attack
docsis,provides,reliable delivery
docsis 2.0,provides,downstream bitrate
docsis 3.0,provides,upstream bitrate
dsl,enables,tiered service
dsl,has_part,copper wire
dsl,requires,telephone line
dsl,supports,frequency-division multiplexing
dsl,susceptible_to,electrical interference
dsl modem,connects_to,dslam
email server,is_a,server
email server,susceptible_to,dos attack
email service,is_a,service
end system,connects_to,communication link
end system,connects_to,isp
end system,connects_to,router
end system,sends,packet
end system,sends,segment
end-point authentication,is_a,concept
end-to-end delay,has_part,processing delay
end-to-end delay,has_part,propagation delay
end-to-end delay,has_part,queuing delay
end-to-end delay,has_part,transmission delay
end-to-end delay,is_a,delay
end-to-end delay,is_a,metric
ethernet,has_part,copper wire
ethernet,is_a,protocol
ethernet,operates_at,data_link_layer
ethernet,provides,reliable delivery
ethernet switch,connects_to,edge router
fiber optics,connects_to,cable head end
fiber optics,connects_to,neighborhood junction
forwarding table,maps_to,outbound link
forwarding table,part_of,router
frame,contains,time slot
frame,has_part,time slot
frequency band,has_part,bandwidth
frequency division multiplexing,has_part,frequency band
frequency-division multiplexing,supports,frequency spectrum
ftp,provides,file transfer
gate layer,implements,gate service
gate layer,requires,baggage layer
gate_layer,requires,runway_to_runway_passenger_transfer_service
global transit isp,has_part,router
hfc,has_part,coaxial cable
hfc,has_part,fiber cable
hierarchical structure,has_part,isp
higher-tier isp,is_a,isp
home router,connects_to,optical network terminator
host,connects_to,circuit switch
host,connects_to,imp
host,is_a,end system
host,is_a,network component
host,provides,socket interface
host,sends,segment
host a,communicates_with,host b
host a,connects_to,link
host a,sends,packet
host b,connects_to,link
host b,sends,packet
host e,receives,packet
http,operates_at,application_layer
http,provides,web service
hybrid fiber coax,has_part,coaxial cable
hybrid fiber coax,has_part,fiber optics
institutional network,susceptible_to,dos attack
internet,connects_to,end system
internet,connects_to,host
internet,has_part,hierarchical structure
internet,is_a,concept
internet,supports,mission critical services
internet protocol stack,has_part,application layer
internet protocol stack,has_part,link layer
internet protocol stack,has_part,network layer
internet protocol stack,has_part,physical layer
internet protocol stack,has_part,transport layer
ip address,identifies,end system
ip spoofing,is_a,attack
isp,connects_to,server
isp,enables,multi-homing
isp,has_part,packet switch
isp,has_part,router
isp,runs_on,ip
laptop,connects_to,ethernet switch
