head,relation_type,tail
a record,maps_to,ip address
additional section,contains,type a
alias hostname,maps_to,canonical hostname
alice,communicates_with,bob
alice,communicates_with,neighboring peer
alice,communicates_with,peer
alice,connects_to,neighboring peer
alice,measures,upload rate
alice local dns server,sends,alice host
answer section,contains,resource record
apache,provides,response message
arin,provides,ip address range
authoritative dns server,has_part,dns record
authoritative dns server,part_of,hierarchical architecture
authoritative dns server,provides,ip address
authoritative flag,identifies,authoritative server
authoritative server,is_a,dns server
authority section,contains,authoritative server
bandwidth,decreases,traffic intensity
bandwidth-sensitive applications,requires,throughput
bit torrent,implements,trading algorithm
bit torrent,is_a,protocol
bit torrent,provides,file distribution
bittorrent,implements,p2p architecture
bittorrent,is_a,protocol
bob,communicates_with,alice
bottleneck link,causes,head of line blocking
browser,communicates_with,http server
browser,communicates_with,origin server
browser,communicates_with,web cache
browser,communicates_with,web proxy
browser,communicates_with,web server
browser,connects_to,web cache
browser,forwards,web cache
browser,is_a,client
browser,manages,cookie file
browser,receives,http response
browser,receives,ip address
browser,sends,cookie
browser,sends,cookie header line
browser,sends,header line
browser,sends,http request
buffer,contains,video frame
cdn,measures,delay
cdn,measures,packet loss
cdn,provides,streaming
chrome,implements,http
chunk,is_a,concept
client,communicates_with,cdn
client,communicates_with,dns server
client,communicates_with,server
client,connects_to,isp
client,connects_to,mail server
client,connects_to,server
client,connects_to,web cache
client,has_part,buffer
client,implements,http
client,implements,rate determination algorithm
client,measures,bandwidth
client,measures,rtt
client,measures,throughput
client,operates_at,application layer
client,provides,email service
client,receives,frame
client,receives,header line
client,receives,http response
client,receives,ip address
client,receives,manifest file
client,receives,packet
client,receives,response message
client,requires,smtp
client,requires,tcp
client,requires,udp
client,sends,hostname
client,sends,http request message
client,sends,packet
client,sends,request message
client,sends,server
client,sends,tcp segment
client,sends,udp packet
client address,contains,ip address
client address,contains,port number
client program,communicates_with,server program
client program,implements,http
client socket,connects_to,tcp connection
client socket,is_a,tcp socket
client socket,requires,port number
client-server architecture,has_part,peer
client-server architecture,has_part,server
client-server architecture,supports,email service
client-server architecture,supports,ftp
client-server architecture,supports,telnet
client-server architecture,supports,web service
cname record,maps_to,canonical hostname
congestion,decreases,throughput
congestion-control mechanism,controls,throughput
connection-oriented service,requires,handshaking procedure
content distribution network,connects_to,access isp
content distribution network,enables,web cache
content distribution network,has_part,server cluster
content distribution network,manages,server
content distribution network,provides,delay
content distribution network,provides,throughput
content ingestion,enables,content processing
content processing,enables,streaming
cookie,enables,shopping cart service
cookie,enables,user session layer
cookie file,contains,identification number
dash,enables,audio version
dash,enables,video version
dash,provides,streaming
dash,runs_on,http
dash,supports,http
data center,contains,host
data center,enables,streaming video service
data center,provides,internet commerce
data center,provides,search engine
data center,provides,social media
data center,provides,web-based email
dhcp,provides,ip address
dig,communicates_with,dns server
distribution time,increases,peer
dns,enables,distributed database
dns,enables,hierarchical architecture
dns,has_part,dns server
dns,has_part,port 53
dns,maps_to,ip address
dns,operates_at,application layer
dns,provides,directory service
dns,provides,dns service
dns,provides,host aliasing
dns,provides,hostname-to-ip-address translation service
dns,provides,load distribution
dns,provides,mail server aliasing
dns,provides,mapping
dns,provides,web content distribution
dns,runs_on,udp
dns,susceptible_to,cache poisoning
dns caching,decreases,delay
dns client,communicates_with,authoritative dns server
dns client,communicates_with,dns server
dns client,communicates_with,root dns server
dns client,communicates_with,tld dns server
dns client,receives,dns reply message
dns client,receives,dns response
dns client,receives,ip address
dns client,sends,dns query
dns client,sends,dns query message
dns protocol,provides,hostname resolution
dns query,contains,hostname
dns rotation,enables,e-mail
dns rotation,provides,load distribution
dns server,communicates_with,dns client
dns server,contains,mapping
dns server,forwards,dns query
dns server,has_part,a record
dns server,has_part,cache
dns server,has_part,ns record
dns server,provides,hostname-to-ip-address translation service
dns server,provides,ip address
dns server,receives,dns query message
dns server,receives,hostname
dns server,sends,dns reply message
dns server,sends,ip address
dns server,supports,recursion
dns service,provides,dns
educause,manages,tld dns server
email,runs_on,tcp
ethernet,operates_at,link layer
file,is_a,concept
file transfer,runs_on,tcp
form,enables,url
framing sub-layer,enables,interleaving
framing sub-layer,implements,binary encoding
framing sub-layer,part_of,http/2
get,variant_of,method field
handshaking procedure,enables,connection-oriented service
head of line blocking,increases,delay
header,contains,header line
header,contains,number-of fields
header line,enables,object caching
header line,part_of,header
header line,part_of,request message
header line,part_of,response message
header section,part_of,dns query message
header section,part_of,dns reply message
hit rate,measures,web cache
host,communicates_with,local dns server
host,connects_to,content server
host,connects_to,server
host,provides,content ingestion
host,provides,content processing
host,sends,dns query
host,sends,http
host header line,identifies,host
hostname,identifies,host
hostname,maps_to,ip address
hotmail,implements,email service
html file,part_of,web page
http,enables,cookie
http,enables,email service
http,enables,gmail
http,enables,google maps
http,enables,instagram
http,enables,streaming
http,enables,youtube
http,operates_at,application layer
http,provides,conditional get
http,provides,email service
http,runs_on,tcp
http,supports,persistent connection
http,supports,pipelining
http client,communicates_with,http server
http request,contains,cookie header line
http response,contains,identification number
http server,identifies,port 80
