head,relation_type,tail
access point,connects_to,interface
action,enables,firewall
action,enables,load balancing
action,enables,nat
action,forwards,packet
address block,contains,subnet 1
address block,contains,subnet 2
address block,contains,subnet 3
address block,part_of,address space
address supporting organization,part_of,icann
api,enables,packet switch
apnic,part_of,address supporting organization
aqm mechanism,mitigates,bufferbloat
arin,part_of,address supporting organization
atm network architecture,provides,guaranteed delivery with bounded delay
atm network architecture,provides,guaranteed minimal bandwidth
atm network architecture,provides,in-order packet delivery
backward compatibility,enables,ipv4
backward compatibility,enables,ipv6
base station,part_of,mobile cellular network
bgp,is_a,protocol
broadcast link,connects_to,host
broadcast link,connects_to,router
buffer,causes,packet loss
buffer,decreases,packet loss
buffer,increases,queueing delay
bufferbloat,increases,queuing delay
buffering,increases,delay
buffering,increases,end-to-end delay
buffering,increases,queueing delay
certificate authority,authenticates,server
cidr,supports,subnet
cisco 12000 series switches,implements,crossbar switch
cisco 6500 router,has_part,backplane bus
cisco 7600 series,supports,bus
classful addressing,decreases,utilization
client,receives,dhcp ack
client,sends,dhcp discover message
client,sends,dhcp request
client,sends,dhcp request message
client,sends,udp packet
codel,is_a,active queue management algorithm
control plane,controls,routing
control plane,implements,routing
controller,is_a,network component
crossbar,is_a,switch fabric
crossbar switch,has_part,crosspoint
crossbar switching fabric,forwards,packet
crosspoint,part_of,crossbar switch
dash protocol,enables,bandwidth
data,part_of,ipv6
data plane,implements,forwarding
datagram length,part_of,ipv4 datagram
destination,receives,ipv6 datagram
destination address,part_of,ipv6
destination-based forwarding,has_part,action
destination-based forwarding,has_part,match
dhcp,enables,ip address
dhcp,provides,default gateway
dhcp,provides,ip address
dhcp,provides,lease renewal
dhcp,provides,subnet mask
dhcp,runs_on,udp
dhcp discover message,part_of,udp packet
dhcp offer message,contains,ip address
dhcp offer message,contains,lease time
dhcp offer message,contains,network mask
dhcp offer message,contains,transaction id
dhcp server,receives,dhcp discover message
dhcp server,sends,dhcp ack
dhcp server,sends,dhcp offer message
digital signature,requires,private key
digital signature,requires,public key
distributed games,operates_at,application layer
dns,susceptible_to,cache poisoning
email security gateway,prevents,e-mail message
ethernet,supports,checksum
ethernet frame,contains,ip datagram
ethernet type field,identifies,ip
explicit congestion notification,part_of,ipv4 datagram
firewall,prevents,datagram
flags,part_of,ipv4 datagram
flow label,part_of,ipv6
flow table,contains,action
flow table,contains,counter
flow table,contains,destination mac address
flow table,contains,flow table entry
flow table,contains,header field
flow table,contains,ip destination address
flow table,contains,ip protocol field
flow table,contains,ip source address
flow table,contains,ip type of service field
flow table,contains,source mac address
flow table,contains,transport destination port
flow table,contains,transport source port
flow table,contains,vlan
flow table,part_of,switch
flow table entry,contains,action
flow table entry,contains,counter
flow table entry,contains,header field
forwarding,operates_at,network layer
forwarding table,contains,prefix
forwarding table,forwards,datagram
forwarding table,identifies,output port
forwarding table,implements,longest prefix matching
forwarding table,maps_to,link interface
forwarding table,maps_to,output port
forwarding table,part_of,router
forwarding table,part_of,s1
