head,relation_type,tail
111.111.111.111,sends,frame
111.111.111.111,sends,ip datagram
40 gigabit ethernet,variant_of,gigabit ethernet
802.11,operates_at,link layer
802.1q,provides,vlan tag
access router,connects_to,top-tier switch
adapter,connects_to,broadcast channel
adapter,encapsulates,ip datagram
adapter,has_part,buffer
adapter,has_part,mac address
adapter,implements,cyclic redundancy check
adapter,part_of,node
adapter,receives,datagram
adapter,receives,ethernet frame
adapter,receives,frame
adapter,receives,ip datagram
adapter,sends,ethernet frame
adapter,sends,frame
aloha,is_a,random access protocol
arp,identifies,ip address
arp,identifies,mac address
arp,maps_to,mac address
arp,operates_at,link layer
arp,provides,link-layer addressing
arp packet,contains,ip address
arp packet,contains,mac address
arp table,contains,ip address
arp table,contains,mac address
arp table,contains,ttl
arq,provides,error correction
atheros ar5006 controller,implements,802.11
atm,is_a,protocol
binary exponential backoff algorithm,runs_on,docsis
binary exponential backoff algorithm,runs_on,ethernet
bluetooth protocol,is_a,polling protocol
bob laptop,receives,ethernet frame
bob laptop,requires,arp
bob laptop,sends,ethernet frame
border router,connects_to,access router
border router,connects_to,data center network
broadcast address,is_a,mac address
broadcast channel,connects_to,hfc access network
broadcast channel,connects_to,host
broadcast channel,connects_to,satellite network
broadcast channel,connects_to,wireless lan
buffer,contains,frame
buffer,part_of,adapter
buffer,part_of,switch
burst error,causes,undetected error
cable modem,communicates_with,cmts
cable modem,sends,mini-slot-request frame
carrier sensing,prevents,collision
cdma,enables,code
cdma,supports,broadcast channel
channel partitioning protocol,variant_of,multiple access protocol
checksum,part_of,checksumming method
checksum,provides,error detection
checksumming method,operates_at,transport layer
checksumming method,provides,error detection
checksumming method,supports,transport layer
clos network,is_a,concept
cmts,receives,mini-slot-request frame
cmts,sends,map message
collision,causes,collision interval
collision,causes,packet loss
collision,decreases,bandwidth
column parity,part_of,error-detection bits
container,has_part,host
control plane,enables,automated configuration
control plane,enables,operational state management
control plane,manages,data plane
controller,encapsulates,datagram
controller,receives,frame
controller,sends,frame
crc,part_of,cyclic redundancy check
crc,requires,generator 1001
crc,requires,generator 10011
crc-32,variant_of,crc
cs host,receives,ip datagram
csma,is_a,random access protocol
csma,requires,carrier sensing
csma/cd,implements,binary exponential backoff
csma/cd,requires,carrier sensing
csma/cd,requires,collision detection
csma/cd,runs_on,ethernet
csma/cd,supports,broadcast link
csma/cd,variant_of,csma
csma/cd algorithm,runs_on,ethernet
csma/cd-like multiple access protocol,implements,csma/cd algorithm
cyclic redundancy check,operates_at,link layer
cyclic redundancy check,prevents,bit-flip errors
cyclic redundancy check,provides,error detection
cyclic redundancy check,requires,modulo-2 arithmetic
